wavelength [um],"Bulb Spectra, No background"
0.343132,365.2
0.343168,362.4
0.343204,362.8
0.34324,378.4
0.343277,358.4
0.343313,361.2
0.343349,374.4
0.343385,364.8
0.343421,371.2
0.343457,348.4
0.343494,382.8
0.34353,382.4
0.343566,362.8
0.343602,378
0.343638,360.4
0.343674,373.2
0.34371,357.2
0.343747,376.4
0.343783,367.6
0.343819,384.4
0.343855,392.4
0.343891,386.4
0.343927,383.6
0.343964,378.4
0.344,369.2
0.344036,360.8
0.344072,377.6
0.344108,366.8
0.344144,387.6
0.34418,386.8
0.344217,386.4
0.344253,371.2
0.344289,390.4
0.344325,396.8
0.344361,396.4
0.344397,390.8
0.344433,372.4
0.34447,394.8
0.344506,379.6
0.344542,376
0.344578,402
0.344614,381.2
0.34465,408.4
0.344686,382
0.344723,378
0.344759,391.2
0.344795,375.2
0.344831,378
0.344867,388.4
0.344903,388.8
0.344939,405.6
0.344975,404
0.345012,390.4
0.345048,404.8
0.345084,398
0.34512,406.4
0.345156,382.8
0.345192,389.2
0.345228,403.2
0.345265,418.8
0.345301,388.8
0.345337,403.2
0.345373,399.6
0.345409,390
0.345445,424
0.345481,401.2
0.345517,399.6
0.345554,416.4
0.34559,404.8
0.345626,401.6
0.345662,403.6
0.345698,411.2
0.345734,412.8
0.34577,406
0.345806,392
0.345842,406
0.345879,399.6
0.345915,414.8
0.345951,407.6
0.345987,416
0.346023,407.2
0.346059,392.4
0.346095,410.4
0.346131,395.6
0.346167,425.2
0.346204,420
0.34624,431.6
0.346276,410
0.346312,427.6
0.346348,418.8
0.346384,409.2
0.34642,412
0.346456,428
0.346492,435.2
0.346529,420
0.346565,409.2
0.346601,418.8
0.346637,409.6
0.346673,413.2
0.346709,439.2
0.346745,435.6
0.346781,427.2
0.346817,433.6
0.346853,432.8
0.34689,429.6
0.346926,436.8
0.346962,430.8
0.346998,428.8
0.347034,412.4
0.34707,436
0.347106,445.6
0.347142,426.8
0.347178,419.2
0.347214,427.6
0.34725,434.8
0.347287,440
0.347323,433.6
0.347359,450.8
0.347395,444.8
0.347431,438.8
0.347467,442.4
0.347503,434.4
0.347539,442.8
0.347575,452
0.347611,439.6
0.347647,452.4
0.347683,450
0.34772,449.2
0.347756,459.6
0.347792,434.4
0.347828,448.4
0.347864,448
0.3479,436.4
0.347936,445.6
0.347972,435.6
0.348008,458.4
0.348044,452.8
0.34808,464.8
0.348116,453.2
0.348152,444
0.348189,448.4
0.348225,467.2
0.348261,471.6
0.348297,443.6
0.348333,449.6
0.348369,441.6
0.348405,472
0.348441,468.8
0.348477,453.2
0.348513,456.4
0.348549,466.4
0.348585,445.2
0.348621,461.2
0.348657,460.4
0.348693,481.2
0.34873,460
0.348766,455.2
0.348802,450.4
0.348838,465.6
0.348874,462.8
0.34891,450.4
0.348946,472.8
0.348982,460.4
0.349018,485.6
0.349054,468.8
0.34909,474.4
0.349126,460.8
0.349162,442.8
0.349198,484
0.349234,467.6
0.34927,490.8
0.349306,469.2
0.349342,462.8
0.349379,476.8
0.349415,471.2
0.349451,471.2
0.349487,468
0.349523,482.8
0.349559,497.2
0.349595,455.2
0.349631,492
0.349667,473.2
0.349703,473.2
0.349739,491.2
0.349775,482
0.349811,488.8
0.349847,486.8
0.349883,494.8
0.349919,470.4
0.349955,468.8
0.349991,486.4
0.350027,470.4
0.350063,485.2
0.350099,492.8
0.350135,502.4
0.350171,474.4
0.350207,492
0.350243,460.4
0.35028,495.6
0.350316,496.4
0.350352,484.8
0.350388,488
0.350424,486.8
0.35046,494
0.350496,499.6
0.350532,481.2
0.350568,514
0.350604,492.4
0.35064,511.6
0.350676,504.8
0.350712,498.8
0.350748,504.8
0.350784,489.2
0.35082,496.4
0.350856,516
0.350892,497.6
0.350928,498.8
0.350964,504.4
0.351,505.2
0.351036,521.2
0.351072,501.6
0.351108,493.2
0.351144,500
0.35118,509.6
0.351216,536.4
0.351252,503.2
0.351288,518.8
0.351324,499.6
0.35136,496
0.351396,517.6
0.351432,517.2
0.351468,532.8
0.351504,511.6
0.35154,526.4
0.351576,515.6
0.351612,534.4
0.351648,522
0.351684,510.4
0.35172,505.6
0.351756,505.2
0.351792,511.2
0.351828,523.6
0.351864,527.6
0.3519,506.8
0.351936,524.8
0.351972,520
0.352008,534.4
0.352044,538.4
0.35208,540.8
0.352116,518.8
0.352152,530
0.352188,517.6
0.352224,528
0.35226,531.2
0.352296,529.2
0.352332,513.6
0.352368,547.6
0.352404,555.2
0.35244,546.4
0.352476,520.4
0.352512,541.2
0.352548,543.2
0.352584,538.8
0.35262,538
0.352656,533.6
0.352692,533.2
0.352728,535.6
0.352764,536
0.3528,544.4
0.352836,554.8
0.352872,535.6
0.352908,556
0.352944,527.6
0.35298,534.8
0.353016,539.6
0.353052,553.2
0.353088,538.4
0.353124,559.2
0.35316,534
0.353196,526.4
0.353232,530.4
0.353268,560.4
0.353304,548.4
0.35334,553.2
0.353376,561.6
0.353412,551.6
