wavelength [nm],intensity,std of intensity,Backgroundless I,eV,True Spectrum,,I/2,True Spec / 2,,2I,2 True Spec
329.816,4317.333333333333,42.279493321887806,3266.533333333333,3.7596720595726105,1404.3503261248745,,1633.2666666666664,702.1751630624373,,6533.066666666666,2808.700652249749
329.853,4208.666666666667,44.790872085975536,3161.466666666667,3.759250332723971,1357.7260712556372,,1580.7333333333336,678.8630356278186,,6322.933333333334,2715.4521425112744
329.889,4026.6666666666665,20.677416559027762,2975.4666666666662,3.75884009469852,1276.5167379450559,,1487.7333333333331,638.2583689725279,,5950.9333333333325,2553.0334758901117
329.926,4008.6666666666665,38.44765561412324,2960.6666666666665,3.7584185544637285,1268.8093877295712,,1480.3333333333333,634.4046938647856,,5921.333333333333,2537.6187754591424
329.962,3950.6666666666665,37.67698973585278,2903.866666666667,3.7580084979482486,1243.173280211876,,1451.9333333333334,621.586640105938,,5807.733333333334,2486.346560423752
329.998,3853.3333333333335,31.8468557666565,2809.3333333333335,3.7575985309001876,1201.4522603993441,,1404.6666666666667,600.7261301996721,,5618.666666666667,2402.9045207986883
330.035,3844.6666666666665,32.221455929585524,2796.2666666666664,3.7571772690775216,1194.5866699006715,,1398.1333333333332,597.2933349503357,,5592.533333333333,2389.173339801343
330.071,3642.0,16.32993161855452,2598.0,3.7567674833596407,1108.7323733851488,,1299.0,554.3661866925744,,5196.0,2217.4647467702976
330.108,3572.6666666666665,30.652170486860395,2520.6666666666665,3.756346407842282,1074.580836073632,,1260.3333333333333,537.290418036816,,5041.333333333333,2149.161672147264
330.144,3527.3333333333335,34.26692606905706,2480.933333333333,3.7559368033343024,1056.5438399143163,,1240.4666666666665,528.2719199571582,,4961.866666666666,2113.0876798286326
330.18,3470.0,32.16623488483952,2419.2,3.75552728814586,1029.1841310238904,,1209.6,514.5920655119452,,4838.4,2058.3682620477807
330.217,3392.0,14.966629547095765,2338.8,3.7551064905804368,993.9187195035905,,1169.4,496.95935975179526,,4677.6,1987.837439007181
330.253,3364.0,20.06655592438988,2320.0,3.7546971564225005,984.906267361986,,1160.0,492.453133680993,,4640.0,1969.812534723972
330.289,3252.0,19.252705437591537,2200.8,3.75428791149569,933.3332734437367,,1100.4,466.6666367218684,,4401.6,1866.6665468874735
330.326,3328.6666666666665,8.055363982396381,2278.2666666666664,3.753867391607079,965.1561696412865,,1139.1333333333332,482.57808482064326,,4556.533333333333,1930.312339282573
